dishName,cuisine,dishId
appam,south indian|kerala,754
appam,south indian|kerala,755
apple pie,england,756
apple pie,england,757
apple pie,england,758
bacon wraps,american,760
scallops wrapped in bacon,american,762
dilled bean salad,north indian,766
cilantro corn and black bean salad,north indian,767
cilantro corn and black bean salad,north indian,914
bisi bele bath,south indian,769
bisi bele bath,south indian,770
bisi bele bath,south indian,771
black forest cake,american,772
black forest cake,american,773
black forest cake,american,774
blueberry cheesecake,american,775
blueberry cheesecake,american,776
blueberry cheesecake,american,777
banana bread,american,82
banana bread,american,779
broccoli soup,american,781
burnt garlic fried rice,north indian,784
butterscotch cake,american,787
butterscotch cake,american,788
cajun skillet pasta,american,790
cajun pasta,american,791
cajun pasta,american,792
tortellini salad,mexican,793
chakli,south indian,796
sausage crescent cheese balls,american,799
chicken cheese ball,american,800
triple cheese burger,american,802
bacon cheese venison burgers,american,803
cheese fondue,swiss,805
cheese fondue,swiss,806
cheese fondue,swiss,807
bacon cheese fries,american,809
grilled cheese sandwich,american,811
grilled cheese sandwich,american,812
chicken biriyani,north indian,817
chicken biriyani,north indian,818
chicken biriyani,north indian,819
bbq chicken burgers,american,820
bbq chicken burgers,american,821
buffalo chicken burgers,american,822
bbq chicken chili,north indian,825
chicken fried rice,north indian,826
chicken fried rice,north indian,827
chicken frittata,italian,829
chicken and vegetable frittata,italian,830
chicken alfredo lasagna rolls,italian,832
chicken lasagne,italian,833
chicken manchurian,chinese,835
chicken manchurian,chinese,836
chicken manchurian,chinese,837
chicken momo,chinese,838
chicken momo,chinese,839
chicken momo,chinese,840
chicken and noodles,chinese,842
lemon chicken pasta,italian,844
chicken pasta,italian,845
grilled buffalo chicken pizza,italian,847
bbq chicken pizza,italian,848
buffalo chicken pizza,italian,849
chicken shawarma,middle east,853
chicken shawarma,middle east,854
chicken shawarma,middle east,855
chicken spring rolls,chinese,860
chicken spring rolls,chinese,861
chickpea burgers,american,865
chickpeas zucchini burger,american,866
chilli chicken,north indian,868
chilli paneer,north indian,871
chilli paneer,north indian,873
honey chilli potatoes,north indian,874
honey chilli potatoes,north indian,875
honey chilli potatoes,north indian,876
chipotle white bean salad sandwich,american,877
choco lava cake,american,880
choco lava cake,american,881
choco lava cake,american,882
chocolate brownie,american,883
chocolate brownie,american,884
chocolate cake,american,887
chocolate cake,american,888
bhatura,north indian,895
bhatura,north indian,896
chopsuey,american,898
chopsuey,american,899
chopsuey,american,900
sundal,south indian,464
corn palak,north indian,909
curried capsicum masala,north indian,918
curried capsicum masala,north indian,919
dahi batata puri,north indian,921
dal bhari puri,north indian,923
dahi vada,south indian,924
dahi vada,south indian,925
dal khichdi,north indian,927
dal khichdi,north indian,928
dal khichdi,north indian,929
methi dal,north indian,930
methi dal,north indian,931
methi dal,north indian,932
dal tadka,south indian,933
dal tadka,south indian,934
dal tadka,south indian,935
dhokla,north indian,942
chilli mushroom,north indian,1133
creamy mushrooms,north indian,949
dum aloo,north indian,951
dum aloo,north indian,952
dum aloo,north indian,953
egg sandwich,american,957
