dishId,tags
94,cardamom|chicken|cinnamon|clove|coriander|curry|dessert|garlic|ginger|masala|oil|onion|pepper
95,clove|coriander|cumin|curry|garlic|mustard|salt|spinach|turmeric|northindian|punjab
96,onion|parsley|rice|saffron|northindian
97,beverage|chili|clove|coconut|cod|cumin|curry|fillets|fish|garlic|masala|milk|oil|onion|rice|salt|turmeric
98,bean|bouillon|broth|chickpea|chili|cinnamon|clove|coriander|cumin|curry|garlic|ginger|oil|olive|oliveoil|onion|raisin|salt|turmeric|northindian|punjab
99,chicken|chili|cinnamon|clove|coriander|cream|cumin|dessert|garlic|ginger|jalapeno|juice|lemon|masala|salt|tomato|yogurt|northindian|punjab
100,bayleaf|beverage|chickpea|chili|coriander|cumin|garlic|ginger|masala|onion|tea|tomato|turmeric
101,chili|clove|garlic|ginger|juice|oil|olive|oliveoil|onion|peanut|rice|stew|tomato|vegan
102,chili|cream|curry|dessert|garlic|ginger|honey|lamb|masala|onion|salt|tomato|turmeric|northindian|punjab
103,chili|clove|cream|cumin|curry|fenugreek|garlic|ginger|masala|oil|onion|paneer|salt|spinach|tomato|turmeric
104,chicken|chickpea|clove|cumin|curry|garlic|masala|oil|onion|salt|spinach|yogurt|northindian|punjab
105,bean|clove|dessert|garlic|mustard|oil|salt|sugar
106,beverage|buttermilk|milk|oil|paneer|northindian
107,bean|beverage|carrot|cauliflower|chickpea|coconut|curry|dessert|ginger|masala|milk|mushroom|oil|onion|salt|tofu|tomato|westindian|goa
108,chicken|chili|curry|dessert|masala|onion|rice|salt|sugar
109,clove|curry|garlic|jalapeno|juice|lemon|masala|mayonnaise|onion|parsley|potato|salad|salt|sweetpotato|american
110,bouillon|broth|chicken|cinnamon|clove|coconut|curry|dessert|garlic|ginger|juice|masala|onion|pork|potato|raisin|salt
111,chili|clove|cream|cucumber|cumin|garlic|salt|sourcream|tomato|yogurt|northindian|punjab
112,bellpepper|chicken|chili|clove|cream|curry|dessert|garlic|masala|oil|onion|salt|tomato|northindian|delhi
113,carrot|chili|coriander|cumin|oil|onion|peas|potato|salt|turmeric
114,chili|clove|coriander|cumin|dessert|fillets|fish|garlic|ginger|salmon|salt|turmeric|yogurt
115,cumin|curry|dessert|garlic|ghee|ginger|masala|onion|palak|paneer|salt|spinach|toast|tomato|northindian|punjab
116,bread|flour|oil|salt|sugar
117,bread|flour|oil|roti|salt|southindian|andhra
118,cumin|masala|mixedvegetables|oil|onion|rice|salt
119,chicken|chili|cumin|curry|dessert|garlic|ginger|masala|oil|olive|oliveoil|onion|potato|tomato|turmeric
120,chili|clove|coriander|cumin|fish|garlic|ginger|oil|salt|tandoori|vinegar|northindian|punjab
121,chana|chickpea|cumin|curry|dessert|flour|ginger|masala|oil|olive|oliveoil|onion|rice|salt|tomato
122,chana|chickpea|clove|curry|garlic|ginger|masala|oil|onion|salt|tomato
123,carrot|clove|cumin|curry|garlic|lentil|masala|oil|onion|potato|pumpkin|salt|spinach|tomato|turmeric
124,almond|chicken|cinnamon|clove|cream|curry|garlic|ginger|oil|onion|tomato|turmeric|yogurt|northindian|uttarpradesh
125,flour|oil|roti|salt|wheat|northindian
126,beverage|fennel|flour|milk|naan|salt|sugar|yeast|yogurt|northindian|punjab
127,bayleaf|chicken|chili|couscous|curry|garlic|ginger|juice|lemon|masala|oil|onion|salt|middleeast
128,cauliflower|chicken|chili|cream|curry|dessert|garlic|masala|oil|onion|parsley|salt|soup|turmeric
129,chickpea|chili|cinnamon|coriander|cumin|juice|lemon|masala|oil|olive|oliveoil|salt|sugar
130,beverage|cardamom|chicken|chili|clove|coriander|cream|curry|dessert|garlic|ginger|masala|milk|oil|onion|salt|sourcream|spinach|tomato|turmeric|northindian|punjab
131,cauliflower|chili|chilli|clove|coriander|cream|cumin|curry|garlic|ginger|juice|lemon|masala|peas|salt|tofu|tomato|yogurt|northindian
132,bellpepper|celery|chicken|chutney|cream|curry|mango|masala|mayonnaise|onion|peach|pinenut|rice|salt|sourcream
133,chicken|chili|clove|cumin|curry|garlic|ginger|masala|oil|onion|tomato|turmeric|northindian
134,cauliflower|chutney|clove|curry|garlic|ginger|lentil|mango|masala|oil|onion|parsley|potato|salt|tomato|vinegar|southindian|tamilnadu
135,chili|chutney|clove|curry|garlic|ginger|masala|mustard|onion|peach|raisin|sugar|vinegar|american
136,bean|chili|cumin|fennel|garlic|ginger|masala|oil|onion|salt|tomato|turmeric|turnip|northindian|kashmir
137,chicken|garlic|ginger|juice|lemon|salt|tikkamasala|northindian|punjab
138,beverage|chicken|chili|coconut|cumin|milk|oil|onion|salt|sugar|tomato|turmeric
139,beverage|celery|chicken|chili|curry|masala|milk|onion|quinoa
140,beverage|cardamom|cinnamon|coconut|coriander|cumin|curry|fennel|garlic|ghee|ginger|lamb|masala|milk|oil|onion|salt|sugar|tamarind|turmeric|southindian|tamilnadu
141,almond|beverage|bouillon|broth|chicken|chickpea|chili|clove|coconut|cream|curry|garlic|ginger|masala|milk|onion|potato|salt|sauce|sourcream|sugar|tomato|turmeric|northindian|punjab
142,almond|clove|coconut|cumin|dessert|garlic|ginger|lamb|masala|oil|onion|saffron|salt|tomato|turmeric|yogurt|northindian|kashmir
143,beverage|cardamom|clove|ginger|honey|milk|turmeric
144,cauliflower|cumin|curry|masala|oil|olive|oliveoil|onion|potato|salt|tomato|northindian|punjab
145,chickpea|curry|flour|juice|oil|onion|samosa|snack
146,cucumber|cumin|juice|lemon|peanut|salad|salt|sugar|westindian|maharashtra
147,biryani|bouillon|broth|carrot|chicken|cinnamon|cumin|dessert|garlic|ghee|ginger|masala|oil|olive|oliveoil|onion|peas|pepper|potato|rice|salt|tomato|turmeric|northindian
148,beverage|coconut|cream|curry|dessert|fish|masala|milk|oil|salmon|salt|wine|northindian
149,carrot|cumin|grape|oil|olive|oliveoil|onion
150,berry|beverage|lassi|milk|strawberry|sugar|yogurt|northindian|punjab
151,beef|beverage|chilli|clove|coconut|coriander|cumin|curry|garlic|ghee|juice|lemon|masala|milk|onion|salt|spinach|tomato|turmeric|northindian|kashmir
152,cauliflower|chili|chilli|coriander|cumin|dessert|ginger|juice|lemon|masala|onion|potato|salt|turmeric|northindian|punjab
153,apple|beverage|cardamom|chutney|cinnamon|dessert|ginger|nutmeg|onion|sugar|vinegar|wine|american
154,chili|clove|coriander|cream|cumin|curry|garlic|oil|onion|paneer|salt|sugar|tomato|turmeric|northindian|punjab
155,chili|chilli|cinnamon|coriander|cumin|curry|garlic|ginger|oil|onion|tomato|turmeric|yogurt|northindian
156,chutney|clove|garlic|ginger|juice|lemon|salt|northindian|punjab
157,celery|chicken|curry|garlic|masala|oil|olive|oliveoil|onion|salt|tomato|foreign
158,carrot|cauliflower|chili|clove|cumin|curry|garlic|ginger|masala|mixedvegetables|mustard|oil|onion|peas|potato
159,chili|clove|condiment|cumin|curry|garlic|lentil|masala|oil|onion|northindian
160,cardamom|chicken|chili|clove|cumin|curry|dessert|garlic|masala|mustard|oil|olive|oliveoil|potato|salt|tomato|yogurt|northindian|punjab
161,bean|clove|coriander|cumin|curry|dessert|garlic|ghee|ginger|kidneybean|masala|oil|onion|salt|sugar|tomato|turmeric
162,bean|beverage|chickpea|chili|clove|coconut|curry|garlic|masala|milk|oil|onion|salt|sesame|tomato|turkey|northindian|punjab
163,bean|cardamom|chili|cinnamon|clove|coriander|cream|cumin|dal|fenugreek|garlic|ginger|lentil|oil|salt|tomato|turmeric
164,almond|beverage|cardamom|flour|ghee|milk|oil|pista|raisin|sugar|sweetdish|northindian
