90,4.126,5.03,0.288,6.29,0.77,1.885
91,0.136,0.0,0.0,0.11,0.0,0.718
92,3.069,1.4,1.572,7.1,0.8,3.444
93,0.659,4.59,1.231,0.31,0.23,3.438
94,2.427,5.39,1.764,0.57,0.81,2.289
95,4.346,2.62,1.129,5.1,0.89,0.817
96,1.043,0.78,2.147,0.12,0.36,0.322
97,1.853,5.74,0.649,0.65,0.75,1.379
98,4.444,4.67,0.387,2.04,0.59,0.771
99,3.028,4.61,0.585,2.84,0.55,4.449
100,3.492,4.67,0.387,2.04,0.59,6.298
101,1.34,0.0,0.0,0.14,0.0,5.988
102,1.548,4.51,1.004,0.23,1.0,3.834
103,3.915,4.4,1.954,1.77,0.99,3.836
104,1.068,1.47,0.363,0.91,0.42,1.974
105,1.18,1.63,1.409,1.36,0.72,0.526
106,0.423,2.25,1.184,3.44,1.12,0.293
107,1.104,1.64,2.917,3.92,0.92,4.073
108,0.0,2.95,4.196,0.1,0.25,1.53
109,0.275,0.94,0.8,2.58,0.33,1.969
110,1.304,3.11,2.741,2.17,0.08,2.23
111,1.337,4.19,3.158,2.12,2.78,3.316
112,0.516,3.78,3.207,0.52,0.7,7.34
113,2.888,0.0,0.031,0.28,0.27,0.874
114,2.998,0.0,0.0,0.0,0.0,0.462
115,1.436,2.25,1.184,3.44,1.12,3.887
116,0.22,1.54,0.936,0.0,1.22,0.143
117,0.22,0.33,0.103,0.53,0.01,0.124
118,0.892,2.55,4.261,0.23,0.44,0.366
119,2.973,2.24,1.455,0.45,0.7,7.813
120,2.235,2.27,2.136,8.65,0.89,1.052
121,2.012,2.79,3.41,1.09,0.88,5.747
122,0.807,0.99,3.991,0.44,0.2,3.575
123,2.66,0.52,0.513,1.11,1.22,6.943
124,2.781,4.16,1.679,0.27,0.34,8.184
125,0.22,2.47,1.069,0.0,0.65,0.104
126,0.0,3.01,1.741,0.04,0.54,0.131
127,0.659,2.27,1.287,2.65,0.35,4.308
128,1.62,6.07,1.006,2.01,0.58,1.574
129,3.044,0.45,1.781,4.06,1.22,0.165
130,2.995,3.03,1.889,2.61,0.41,7.714
131,2.328,4.64,1.477,4.39,0.76,3.332
132,0.0,2.11,0.555,2.37,0.33,1.419
133,2.589,2.0,0.586,1.7,1.07,7.412
